Требования,Количество,Процент
курьерская доставка,264,13.2
android,244,12.2
знание города,206,10.3
свободный график,191,9.6
пунктуальность,177,8.9
ответственность,176,8.8
курьер,173,8.7
водительское удостоверение категории b,126,6.3
умение ориентироваться,117,5.9
рядом с домом,116,5.8
высокий доход,105,5.3
грамотная речь,100,5.0
работа в команде,90,4.5
работоспособность,89,4.5
вежливость,88,4.4
исполнительность,83,4.2
внимательность,83,4.2
ориентация по карте,75,3.8
ozon,74,3.7
мобильность,74,3.7
без опыта,73,3.7
с 16,60,3.0
доставка,57,2.9
delivery club,56,2.8
dostavista,55,2.8
честность,53,2.7
деловое общение,48,2.4
стрессоустойчивость,47,2.4
подработка,46,2.3
пользователь пк,43,2.2
быстрая обучаемость,40,2.0
работа рядом с домом,39,2.0
доставщик,34,1.7
водитель,33,1.7
dodo,31,1.6
ozon fresh,30,1.5
отчетность,30,1.5
желание зарабатывать,28,1.4
вождение автомобиля,28,1.4
начинающий специалист,28,1.4
умение быстро ориентироваться в сложной дорожной обстановке,27,1.4
уверенное вождение автомобиля,27,1.4
водитель-курьер,27,1.4
коммуникабельность и умение общаться с заказчиками,27,1.4
опытное использование навигатора,27,1.4
аккуратное вождение,26,1.3
доставка заказов,26,1.3
yandex,25,1.3
оперативная и безопасная езда на автомобиле в разных условиях дорожного движения,25,1.3
lamoda,25,1.3
доставка продуктов,24,1.2
авто-курьер на машине компании,24,1.2
клиентоориентированность,24,1.2
знание москвы,24,1.2
fresh,23,1.2
экспедирование,23,1.2
работа с клиентами,23,1.2
авто-курьер,23,1.2
b,23,1.2
пеший курьер,23,1.2
водительский стаж,22,1.1
доставщик заказов,22,1.1
доставщик продуктов,21,1.1
gis,20,1.0
оформление заказов,19,1.0
автомобильные перевозки,18,0.9
коммуникабельность,18,0.9
телефонные переговоры,17,0.9
ios,17,0.9
активность,16,0.8
ежедневные выплаты,16,0.8
умения выбирать оптимальные маршруты поездок,16,0.8
ежедневная оплата,16,0.8
курьер подработка аптек/документов,15,0.8
курьер документов,15,0.8
умение работать в коллективе,15,0.8
работа с навигатором,15,0.8
навык комфортного вождения,15,0.8
удобная подработка,15,0.8
поиск информации в интернет,15,0.8
курьер аптек,15,0.8
доброжелательность,14,0.7
аккуратность,14,0.7
обучение и развитие,14,0.7
кооперативность,14,0.7
quot,14,0.7
работа с документами,14,0.7
логистика,14,0.7
знание устройства автомобиля,13,0.7
доставка товаров,13,0.7
оформление документации,12,0.6
грамотность,12,0.6
управление временем,11,0.6
умение выбирать оптимальные маршруты поездок,11,0.6
взаимодействие с курьерскими службами,11,0.6
транспортная логистика,11,0.6
организаторские навыки,11,0.6
доставка еды,10,0.5
автомобильные грузоперевозки,10,0.5
точность и внимательность к деталям,10,0.5
правила дорожного движения,10,0.5
грамотная устная речь,10,0.5
доставка товара,9,0.5
еженедельные выплаты,9,0.5
физическая выносливость,9,0.5
район на выбор,9,0.5
умение работать в команде,9,0.5
автокурьер,8,0.4
подработка на выходные,8,0.4
эксплуатация легкового автомобиля,8,0.4
деловая коммуникация,8,0.4
подработка курьером,8,0.4
подработка в вечернее время,8,0.4
умение ориентироваться по карте,8,0.4
whatsapp,7,0.4
ориентация на клиента,7,0.4
мотивация персонала,6,0.3
управление курьерской службой,6,0.3
исполнение личных поручений руководителя,6,0.3
работа с людьми,6,0.3
вождение автомобилей представительского класса,6,0.3
активные продажи,6,0.3
велокурьер,6,0.3
опрятный внешний вид,6,0.3
деловая корреспонденция,6,0.3
driving licence b,6,0.3
документальное сопровождение,6,0.3
ориентация на результат,6,0.3
грузоперевозки,6,0.3
исполнение поручений руководителя,6,0.3
водительское удостоверение категории bc,6,0.3
материальная ответственность,6,0.3
личный автомобиль,6,0.3
перевозка грузов,5,0.3
отличное знание города,5,0.3
стаж вождения от 3 лет,5,0.3
подбор персонала,5,0.3
работа с оргтехникой,5,0.3
ответственность и пунктуальность,5,0.3
работа с большим объемом информации,5,0.3
складская логистика,5,0.3
деловая переписка,5,0.3
internet,5,0.3
умение ориентироваться на местности,5,0.3
google,5,0.3
работа,5,0.3
excel,5,0.3
гибкий график,5,0.3
ведение переговоров,5,0.3
умение принимать решения,5,0.3
petshopru,4,0.2
без доставки еды,4,0.2
ms excel,4,0.2
petshop,4,0.2
консультативные продажи,4,0.2
выносливость,4,0.2
обучение персонала,4,0.2
планирование и организация,4,0.2
работа с персоналом,4,0.2
ведение отчетности,4,0.2
аналитические способности,4,0.2
iphone,4,0.2
транспортная накладная,4,0.2
word,4,0.2
управление персоналом,4,0.2
мотивация,4,0.2
обучаемость,4,0.2
ms office,4,0.2
готовность обучаться,4,0.2
без опыта работы,4,0.2
работа курьером,4,0.2
ru,4,0.2
b c d,4,0.2
скорость,4,0.2
курьер-водитель,4,0.2
оперативность,4,0.2
организация рабочего процесса,4,0.2
работа с тмц,3,0.2
уверенный пользователь пк,3,0.2
навыки межличностного общения,3,0.2
c,3,0.2
работа в условиях многозадачности,3,0.2
водительские права,3,0.2
соблюдение пдд,3,0.2
массовый подбор персонала,3,0.2
продукты,3,0.2
еда,3,0.2
водитель на автомобиль компании,3,0.2
выявление потребностей,3,0.2
контроль сроков годности,3,0.2
сдержанность,3,0.2
неконфликтность,3,0.2
умение пользоваться навигатором,3,0.2
желание заработать,3,0.2
опрятность,3,0.2
умение работать с людьми,3,0.2
заключение договоров,3,0.2
водитель на своем автомобиле,3,0.2
русский язык,3,0.2
междугородние перевозки,3,0.2
пунктуация,3,0.2
без формы и термосумки,3,0.2
внимательность к деталям,2,0.1
приемка груза,2,0.1
консультирование клиентов,2,0.1
дружелюбность,2,0.1
работа в коллективе,2,0.1
vprok,2,0.1
деловые коммуникации,2,0.1
педантичность,2,0.1
внутренняя логистика,2,0.1
дружелюбие,2,0.1
амо,2,0.1
google sheets,2,0.1
впр,2,0.1
эксплуатация грузового автомобиля,2,0.1
