Term,Count
python,272
ml,184
sql,170
pytorch,104
docker,93
pandas,77
nlp,74
spark,72
hadoop,72
tensorflow,69
numpy,65
git,65
kubernetes,59
linux,59
airflow,55
llm,44
machine learning,43
data science,43
dl,42
postgresql,41
cd,40
ci,40
mlflow,38
ai,37
scikit-learn,35
java,34
bash,34
kafka,32
big data,32
devops,31
ds,31
transformers,29
sklearn,28
pyspark,28
hive,27
clickhouse,26
a,26
b,26
data scientist,25
r,24
etl,24
mlops,24
grafana,23
catboost,22
машинное обучение,22
prometheus,20
k8s,20
production,19
cv,18
bert,18
gitlab,18
matplotlib,18
deep learning,18
xgboost,18
jira,18
rag,18
ansible,18
hdfs,17
it,17
recsys,17
математическая статистика,17
c,17
apache airflow,16
scipy,16
nosql,16
lightgbm,16
api,15
fastapi,15
gpt,15
postgres,15
greenplum,14
computer vision,14
jenkins,14
dwh,14
scala,14
confluence,13
ci/cd,13
go,13
jax,13
bi,13
keras,13
etc,12
анализ данных,12
mysql,12
ms sql,12
apache spark,12
data scientists,11
рекомендательные системы,11
zabbix,11
langchain,11
ai-first,10
rnn,10
gpu,10
impala,10
apache kafka,10
dvc,10
time series analysis,10
речевые технологии,10
ml-антифрод,10
предиктивные технологии,10
speech,10
компьютерное зрение,10
диалоговые системы,10
algorithms,9
mongodb,9
agile,9
ner,9
golang,9
power bi,9
amp,9
s3,9
uplift,9
oracle,9
seaborn,9
bitbucket,8
разработка поисковых технологий,8
nltk,8
data analysis,8
gitlab ci,8
scrum,8
английский язык,8
rabbitmq,8
elk,8
классическое машинное обучение,8
javascript,8
opencv,8
openshift,7
rest api,7
nginx,7
kubeflow,7
математическое моделирование,7
excel,7
ltv,7
lstm,7
flask,7
управление командой,7
de,7
алгоритмы и структуры данных,7
pd,7
olap,6
lgd,6
aws,6
ead,6
data engineer,6
php,6
sota,6
kaggle,6
middle,6
elasticsearch,6
helm,6
torch,6
quot,6
github,6
d,6
feature engineering,6
cnn,6
recommender systems,6
a/b тесты,6
prod,6
redis,6
аналитическое мышление,6
cassandra,5
tf-idf,5
prompt engineering,5
azure,5
transformer,5
ocr,5
rnd,5
nexus,5
superset,5
unix,5
rhel,5
computer science,5
onnx,5
terraform,5
mvp,5
rest,5
gpt-like,5
reinforcement learning,5
senior,5
code review,5
базы данных,4
code-review,4
аналитические исследования,4
ad-hoc,4
bert-like,4
rl,4
centos,4
vertica,4
automl,4
ml ops,4
data engineers,4
kanban,4
statsmodels,4
presto,4
atlassian confluence,4
bigdata,4
jupyterhub,4
ms excel,4
статистический анализ,4
feast,4
математический анализ,4
flink,4
feature store,4
fintech,4
iac,4
c++,4
elt,4
jupyter,4
yandex cloud,4
prophet,4
data lake,4
qa,4
plotly,4
tableau,4
eda,4
join,3
b2c,3
state-of-the-art,3
streamlit,3
субд,3
neo4j,3
bamboo,3
hugging face,3
data mining,3
nbo,3
oc linux,3
gigachat,3
self-driving,3
open-source,3
fine-tuning,3
ubuntu,3
full-stack,3
polars,3
vba,3
dask,3
t5,3
saas,3
eks,3
vpn,3
open source,3
yarn,3
web,3
vllm,3
cron,3
grpc,3
dataops,3
data analysts,3
lora,3
teamcity,3
embedding,3
data,3
sft,3
forecasting,3
groovy,3
e,3
vmware,3
b1,3
e-commerce,3
powerbi,3
ctr,3
argocd,3
sre,3
kotlin,3
aiohttp,3
ip,3
unit,3
fine-tuning llm,3
b2,3
tensorrt,3
neptune,3
product owner,3
luigi,3
data vault,3
artifactory,2
ros,2
adas,2
machine learning engineer,2
infrastructure as code,2
sdn,2
c#,2
sds,2
ldap,2
networkx,2
kubernets,2
nba,2
data science analytical platform,2
vk,2
cpu,2
offline,2
online,2
embeddings,2
asyncio,2
cuped,2
clearml,2
best practice,2
rtb,2
sas,2
self-attention,2
cd pipelines,2
atlassian jira,2
bert4rec,2
cicd,2
po,2
lidar,2
g,2
robot operating system,2
variance reduction,2
dash,2
computational advertising,2
нейронные сети,2
c/c++,2
spacy,2
shell,2
postgresq,2
a/b-experiments,2
docker-compose,2
key-value,2
alertmanager,2
docker compose,2
search ranking,2
team lead,2
resnet,2
continuous deployment,2
astra,2
nlu,2
neural nets,2
mathematics,2
llama2,2
руководство коллективом,2
camunda,2
or-tools,2
ssh,2
routines,2
continuous integration,2
olap (online analytical processing),2
apache hadoop,2
circleci,2
mask r-cnn,2
async,2
mpp,2
smp,2
retail,2
apache spark structured streaming,2
sktime,2
skforecast,2
qwen,2
soft skills,2
auto-encoders,2
peft,2
openapi,2
json,2
graylog,2
observability,2
apache cassandra,2
openstack,2
data lineage,2
trello,2
huggingface,2
wandb,2
performance review,2
brd,2
