,Должности
0,AI Head
1,AI Tech Lead
2,AI/DL/NLP Engineer (LLM)
3,AQA-engineer Middle+/Senior
4,Algorithms Engineer (ADAS)
5,AppSec engineer: Research & Integration
6,BI-аналитик(Блок Продукты)
7,Blockchain Security Engineer
8,Data Analyst / Data Scientist (Junior/Junior+)
9,Data Engineer
10,Data Engineer / Эксперт в области машинного обучения
11,Data Engineer DWH
12,Data Engineer DWH (Офис) / Инженер данных
13,Data Engineer направления разработки витрин данных
14,"Data Engineer, Эффективность рекламы"
15,Data Science Lead / Руководитель группы специалистов по машинному обучению и аналитике данных
16,Data Scientist
17,Data Scientist (Advertising Platform)
18,Data Scientist (Computer Vision)
19,Data Scientist (CoreML + RecSys)
20,Data Scientist (Customer Value Proposition)
21,"Data Scientist (Deep Learning), Рекомендации и персонализация"
22,Data Scientist (HR-модели)
23,Data Scientist (Marketing Mix Modelling)
24,Data Scientist (Middle)
25,Data Scientist (NLP&ML)
26,Data Scientist (NLP/LLM)
27,Data Scientist (Predictive Modeller)
28,Data Scientist (SberUser)
29,Data Scientist (Scoring Developer)
30,Data Scientist (Senior)
31,Data Scientist (Senior/Middle+)
32,Data Scientist (Shipping)
33,Data Scientist (e-com)
34,Data Scientist (middle)
35,Data Scientist (middle/senior)
36,Data Scientist (senior)
37,Data Scientist (Валидация)
38,Data Scientist (Модели CRM)
39,Data Scientist (Моделирование КМБ и СМБ)
40,Data Scientist (Прогнозирование спроса и динамическое ценообразование Ритейл)
41,Data Scientist (Управление координации стратегических проектов по фондированию и лояльности)
42,Data Scientist (Центр модельных рисков сервисных блоков и экосистемы)
43,Data Scientist (Центр портфельного риск-моделирования)
44,Data Scientist (команда Поиска)
45,Data Scientist (модельные риски и валидация)
46,Data Scientist (проект GigaChat)
47,Data Scientist (риски)
48,Data Scientist / ML-инженер (Big Data) в Зеленограде
49,Data Scientist / Machine Learning Engineer / Аналитик данных
50,Data Scientist / Machine Learning Engineer middle
51,Data Scientist / Аналитик Data Science
52,Data Scientist / Математик-программист
53,Data Scientist Middle+
54,Data Scientist NLP (LLM) (MTS AI)
55,Data Scientist NLP (Центр модельных рисков розничного бизнеса)
56,Data Scientist NLP (портал gosuslugi.ru)
57,Data Scientist middle/senior
58,Data Scientist в Модерацию контента
59,Data Scientist в Офис Agile трансформации
60,Data Scientist в команду Computer Vision (UGC)
61,Data Scientist в команду RecSys
62,Data Scientist в команду моделирования розничных рисков
63,Data Scientist в команду персонализации
64,Data Scientist в команду риск - моделирования КИБ и СМБ
65,Data Scientist в команду риск - моделирования розничного бизнеса
66,Data Scientist в области языковых моделей (Junior)
67,Data Scientist в области языковых моделей (Middle)
68,Data Scientist на проекты NLP/ классический ML/ графовые сети
69,"Data Scientist, Маркетплейс, Контент и товары"
70,"Data Scientist, Факторы ранжирования"
71,"Data Scientist/Analyst ""Платформа экспериментов"""
72,Data Scientist/ML Engineer
73,Data Scientist/ML Engineer (команда SmartSearch)
74,Data Scientist/ML Engineer в команду развития Искусственного интеллекта
75,"Data Scientist/Разработчик машинного обучения (ML, NLM, LLM)"
76,Data analyst / Аналитик данных
77,Data analyst / Менеджер по работе с данными
78,Data scientist
79,Data scientist (Computer Vision)
80,Data scientist (Junior) в консалтинг
81,Data scientist (LLM в корпоративном кредитовании)
82,Data scientist (Middle/Middle+)
83,Data scientist (NLP)
84,Data scientist (middle)
85,Data scientist (middle) в команду моделирования партнерств и ИТ - процессов
86,Data scientist (Аналитик данных)
87,Data scientist (Департамент развития отношений с клиентами)
88,Data scientist (Управление рисками корпоративных клиентов)
89,Data scientist (Центр модельных рисков розничного бизнеса)
90,Data scientist (команда Collection)
91,Data scientist (команда антифрод)
92,Data scientist (команды CRM и модели оптимизации)
93,Data scientist (скоринг)
94,Data scientist / ML инженер
95,Data scientist в поиск Маркета
96,Data scientist в сервис путешествий
97,"Data scientist, SalesLab Global markets"
98,Data-engineer
99,DataOps engineer
100,Dataset Specialist Lidar (ADAS)
101,DevOps (SberSpace)
102,DevOps / SRE инженер
103,DevOps Engineer
104,DevOps Engineer.
105,DevOps инженер
106,DevOps инженер (DSAP) Middle/Senior
107,DevOps инженер/Middle
108,DevOps-инженер
109,DevOps-инженер (ML платформа)
110,Devops specialist
111,Fullstack ML Engineer
112,GIS Data Scientist
113,Go Developer в команду «Антиробот»
114,Infrastructure Reliability Engineer (ADAS)
115,Java Lead (MLOps-инструментов в департамент AI)
116,Junior AI Engineer
117,Junior Data Scientist
118,Junior Data scientist
119,"Junior NLP, LLM Data Scientist (блок ""Сеть Продаж"")"
120,Junior+/Middle MLOps-Engineer
121,Junior/Middle Data Scientist(NLP)
122,Lead DS в команду персонализации
123,Lead Data Scientist
124,Lead Data Scientist (Гео и Графы)
125,Lead Data Scientist (удаленно)
126,Lead Data engineer
127,"Lead Data-компетенции продукта (блок ""Стратегия и развитие"")"
128,Lead data engineer
129,"Lead/Senior NLP Data Scientist (блок ""Стратегия и развитие"")"
130,ML Engineer
131,"ML Engineer (Data Scientist), Маркетплейс, Цены и анализ конкурентов"
132,ML Engineer / Senior Data Scientist
133,ML Engineer Uplift и Causal Inference (Exp. Platform)
134,ML Engineer в Видеоаналитику (Trust&Safety)
135,ML engineer
136,ML engineer (AI платформа КБ)
137,ML engineer (офис)
138,ML инженер
139,ML инженер / Data Scientist (Стартап)
140,ML-инженер
141,ML-инженер (аналитик)
142,ML-инженер / MLOps
143,ML-инженер в IT-Хаб
144,ML-инженер в Вертикали
145,ML-инженер в области компьютерного зрения (Middle)
146,ML-инженер/engineer в финтех гигант
147,MLOps инженер
148,Machine Learning Engineer (Pricing)
149,Machine Learning Engineer в VK Рекламу
150,"Middle +/ Senior Data Scientist (AdTech, предсказательные модели)"
151,Middle DS инженер NLP/LLM
152,Middle Data Scientist
153,Middle Data Scientist (Лаборатория СберИндекс)
154,Middle Data scientist
155,Middle ML Engineer (NLP)
156,Middle MLE/DS инженер (NLP направление)
157,Middle MLOps / Devops инженер
158,Middle data scientist
159,Middle разработчик ML (Anti-Fraud)
160,"Middle-Senior ML / Data Science разработчик (NLP, OCR, CV)"
161,Middle/Senior AI-engineer
162,Middle/Senior Data Engineer (команда ИИ и аналитика)
163,Middle/Senior Data Scientist (команда ИИ и аналитика)
164,Middle/Senior Data Scientist / ML Engineer в команду Прогноза промо-продаж
165,Middle/Senior Data Scientist LLM (команда SberNBA)
166,Middle/Senior Data Scientist в команду NLP
167,Middle/Senior Data Scientist/ML Engineer на продукт CVM
168,ModelOps specialist
169,NLP Data Scientist
170,Product Manager направления DS/ML горизонталь Поиск
