,id,name,url,professional_roles,salary_from,salary_to,currency,gross
14,115936905,Пеший курьер по доставке продуктов от 2 ч в день,https://api.hh.ru/vacancies/115936905?host=hh.ru,Другое,163120.0,163120.0,RUR,True
52,115267543,Курьер миграционно-визового отдела (подача и сопровождение в ММЦ Сахарово),https://api.hh.ru/vacancies/115267543?host=hh.ru,Другое,,,,
65,115315197,Водитель-курьер корейской косметики на автомобиле компании,https://api.hh.ru/vacancies/115315197?host=hh.ru,Другое,185000.0,295000.0,RUR,False
75,115994376,Курьер,https://api.hh.ru/vacancies/115994376?host=hh.ru,Другое,60000.0,90000.0,RUR,False
180,115990129,Старший курьер ( Клинический Госпиталь на Яузе ),https://api.hh.ru/vacancies/115990129?host=hh.ru,Другое,60000.0,60000.0,RUR,True
200,115219258,Пеший курьер,https://api.hh.ru/vacancies/115219258?host=hh.ru,Другое,40000.0,40000.0,RUR,False
228,114958726,"QA mobile, Приложение Курьер и Работа",https://api.hh.ru/vacancies/114958726?host=hh.ru,Тестировщик,,,,
237,115466762,Водитель-курьер корейской косметики на автомобиле компании,https://api.hh.ru/vacancies/115466762?host=hh.ru,Другое,185000.0,295000.0,RUR,False
256,115347357,Водитель-курьер корейской косметики на автомобиле компании,https://api.hh.ru/vacancies/115347357?host=hh.ru,Другое,185000.0,295000.0,RUR,False
261,115487504,Водитель курьер,https://api.hh.ru/vacancies/115487504?host=hh.ru,Другое,85000.0,110000.0,RUR,False
346,110143816,Курьер для доставки документов в офис-СРОЧНО(без формы/опыта)-можно как-ПОДРАБОТКУ!,https://api.hh.ru/vacancies/110143816?host=hh.ru,Другое,121500.0,189700.0,RUR,True
373,104438365,Курьер пеший,https://api.hh.ru/vacancies/104438365?host=hh.ru,Другое,75000.0,120000.0,RUR,False
385,115813098,Курьер 1-4 часа с ежедневной оплатой,https://api.hh.ru/vacancies/115813098?host=hh.ru,Другое,150000.0,200000.0,RUR,True
392,115162029,Курьер,https://api.hh.ru/vacancies/115162029?host=hh.ru,Другое,45000.0,45000.0,RUR,False
400,114951025,Курьер малогабаритных (легких) заказов (платим ежедневно ),https://api.hh.ru/vacancies/114951025?host=hh.ru,Другое,212000.0,212000.0,RUR,True
420,114676044,Курьер косметики Sesderma/La roche-posay/Bioderma,https://api.hh.ru/vacancies/114676044?host=hh.ru,Другое,151000.0,205000.0,RUR,False
462,115327950,Водитель-курьер на автомобиле компании,https://api.hh.ru/vacancies/115327950?host=hh.ru,Другое,75000.0,80000.0,RUR,False
527,115381626,"Водитель-курьер на грузовом автомобиле 8-16 кубов (САО, СВАО, СЗАО)",https://api.hh.ru/vacancies/115381626?host=hh.ru,Другое,200000.0,200000.0,RUR,False
547,115049879,Курьер легких заказов,https://api.hh.ru/vacancies/115049879?host=hh.ru,Другое,281330.0,281330.0,RUR,False
561,115363926,Курьер,https://api.hh.ru/vacancies/115363926?host=hh.ru,Другое,184300.0,184300.0,RUR,True
589,115328275,Курьер с ежедневной оплатой — работай рядом с домом,https://api.hh.ru/vacancies/115328275?host=hh.ru,Другое,281370.0,281370.0,RUR,False
598,114515675,Водитель-курьер,https://api.hh.ru/vacancies/114515675?host=hh.ru,Другое,110000.0,110000.0,RUR,False
619,115485468,Водитель-курьер (экспресс-доставка),https://api.hh.ru/vacancies/115485468?host=hh.ru,Другое,171500.0,210500.0,RUR,False
664,115063201,"Курьер, канцелярии-уникальных заказов, лёгкие посылок до 2-кг.(СРОЧНО), подработка-ОПЛАТА-ЕЖЕДНЕВНО",https://api.hh.ru/vacancies/115063201?host=hh.ru,Другое,178400.0,203500.0,RUR,False
717,115485825,Курьер,https://api.hh.ru/vacancies/115485825?host=hh.ru,Другое,171500.0,210500.0,RUR,False
798,115486666,Водитель-курьер-экспресс на личном автомобиле,https://api.hh.ru/vacancies/115486666?host=hh.ru,Другое,171500.0,210500.0,RUR,False
821,115350749,Пеший курьер в банк (доставка документов),https://api.hh.ru/vacancies/115350749?host=hh.ru,Другое,130000.0,175000.0,RUR,True
926,105380333,Курьер по доставке телеграмм,https://api.hh.ru/vacancies/105380333?host=hh.ru,Другое,36000.0,36000.0,RUR,True
955,111866404,Водитель-курьер на своем автомобиле,https://api.hh.ru/vacancies/111866404?host=hh.ru,Другое,140000.0,140000.0,RUR,True
961,115058354,"Аккуратный курьер it компании. Бонус 10,000 рублей каждому!",https://api.hh.ru/vacancies/115058354?host=hh.ru,Другое,95470.0,181910.0,RUR,False
1015,114938823,Водитель-курьер (категория В) по доставке со склада,https://api.hh.ru/vacancies/114938823?host=hh.ru,Другое,130000.0,190000.0,RUR,True
1046,115451174,Представитель/водитель-курьер по доставке из аптек на своем автомобиле,https://api.hh.ru/vacancies/115451174?host=hh.ru,Другое,150000.0,240000.0,RUR,True
1050,107285426,Курьер коротких заказов,https://api.hh.ru/vacancies/107285426?host=hh.ru,Другое,207300.0,207300.0,RUR,True
1059,115486874,Водитель-курьер,https://api.hh.ru/vacancies/115486874?host=hh.ru,Другое,171500.0,210500.0,RUR,False
1080,115486285,Курьер (документы/товары),https://api.hh.ru/vacancies/115486285?host=hh.ru,Другое,171500.0,210500.0,RUR,False
1143,115544182,Product Manager (Courier and Delivery Experience team),https://api.hh.ru/vacancies/115544182?host=hh.ru,Менеджер продукта,,,,
1174,86643113,Курьер на велосипеде,https://api.hh.ru/vacancies/86643113?host=hh.ru,Другое,85000.0,130000.0,RUR,False
1189,114729204,Водитель-Курьер в ТЦ,https://api.hh.ru/vacancies/114729204?host=hh.ru,Другое,130000.0,210000.0,RUR,True
1208,115243083,Курьер,https://api.hh.ru/vacancies/115243083?host=hh.ru,Другое,62000.0,70000.0,RUR,False
1242,114185345,Курьер аптек и зоомагазинов,https://api.hh.ru/vacancies/114185345?host=hh.ru,Другое,158000.0,188000.0,RUR,False
1293,115484120,Курьер на доставку товаров,https://api.hh.ru/vacancies/115484120?host=hh.ru,Другое,171500.0,210500.0,RUR,False
1301,115332794,Начинающий специалист/водитель-курьер по доставке в IT компанию,https://api.hh.ru/vacancies/115332794?host=hh.ru,Другое,150000.0,250000.0,RUR,True
1317,115487817,Водитель-курьер на личном автомобиле,https://api.hh.ru/vacancies/115487817?host=hh.ru,Другое,171500.0,210500.0,RUR,False
1320,115488684,Водитель-курьер,https://api.hh.ru/vacancies/115488684?host=hh.ru,Другое,171500.0,210500.0,RUR,False
1437,86589636,Курьер,https://api.hh.ru/vacancies/86589636?host=hh.ru,Другое,105000.0,105000.0,RUR,False
1473,115332798,Представитель/водитель-курьер по доставке из аптек на своем автомобиле,https://api.hh.ru/vacancies/115332798?host=hh.ru,Другое,150000.0,280000.0,RUR,True
1480,115011108,Курьер,https://api.hh.ru/vacancies/115011108?host=hh.ru,Другое,145000.0,255000.0,RUR,False
1586,115004476,"Курьер легких заказов с ежедневной оплатой, без формы",https://api.hh.ru/vacancies/115004476?host=hh.ru,Другое,281310.0,281310.0,RUR,False
1587,115589581,"Курьер в it-холдинг (доставка с аптек , подарков, товаров для взрослых до 3 кг)-(СРОЧНО-ПОДРАБОТКА)",https://api.hh.ru/vacancies/115589581?host=hh.ru,Другое,1050.0,1550.0,USD,False
