Id,Должности
1,Event-менеджер
2,PR-менеджер
3,"SMM-менеджер, контент-менеджер"
6,Агент по недвижимости
8,Администратор
9,"Администратор магазина, администратор торгового зала"
10,Аналитик
11,Андеррайтер
12,"Арт-директор, креативный директор"
13,"Артист, актер, аниматор"
14,Архитектор
15,Ассистент врача
16,Аудитор
17,Бизнес-тренер
18,Бухгалтер
21,Водитель
22,Военнослужащий
24,Врач
25,Гейм-дизайнер
26,"Генеральный директор, исполнительный директор (CEO)"
30,Главный инженер проекта
31,Грузчик
33,"Делопроизводитель, архивариус"
34,"Дизайнер, художник"
35,"Директор магазина, директор сети магазинов"
36,Директор по информационным технологиям (CIO)
37,Директор по маркетингу и PR (CMO)
38,Директор по персоналу (HRD)
39,Диспетчер
40,Другое
41,"Журналист, корреспондент"
44,Инженер по качеству
45,"Инженер по охране труда и технике безопасности, инженер-эколог"
46,Инженер по эксплуатации
47,"Инженер ПТО, инженер-сметчик"
48,"Инженер-конструктор, инженер-проектировщик"
49,Технолог
50,Казначей
52,Кладовщик
53,Коммерческий директор (CCO)
54,Координатор отдела продаж
55,"Копирайтер, редактор, корректор"
57,Кредитный специалист
58,Курьер
65,Медицинский представитель
66,Менеджер по закупкам
67,"Менеджер по логистике, менеджер по ВЭД"
68,"Менеджер по маркетингу, интернет-маркетолог"
69,Менеджер по персоналу
70,"Менеджер по продажам, менеджер по работе с клиентами"
71,Менеджер по работе с партнерами
72,Менеджер по туризму
73,Менеджер продукта
74,Менеджер ресторана
75,Менеджер/консультант по стратегии
76,Менеджер/руководитель АХО
79,"Научный специалист, исследователь"
80,Начальник производства
81,Начальник склада
83,"Оператор call-центра, специалист контактного центра"
84,"Оператор ПК, оператор базы данных"
86,Оператор станков с ЧПУ
87,Операционный директор (COO)
88,Офис-менеджер
92,Парикмахер
94,"Повар, пекарь, кондитер"
96,"Программист, разработчик"
97,"Продавец-консультант, продавец-кассир"
98,Продюсер
99,Промоутер
100,"Прораб, мастер СМР"
103,"Режиссер, сценарист"
104,Руководитель группы разработки
105,Руководитель отдела клиентского обслуживания
106,Руководитель отдела продаж
107,Руководитель проектов
108,Руководитель строительного проекта
110,"Секретарь, помощник руководителя, ассистент"
111,"Сервисный инженер, инженер-механик"
112,Сетевой инженер
113,Системный администратор
114,Системный инженер
116,Специалист по информационной безопасности
117,Специалист по кадрам
118,Специалист по подбору персонала
119,Специалист по тендерам
120,Специалист службы безопасности
121,Специалист технической поддержки
122,Страховой агент
123,Супервайзер
124,Тестировщик
125,Технический директор (CTO)
126,Технический писатель
127,Товаровед
129,Торговый представитель
130,"Уборщица, уборщик"
131,"Упаковщик, комплектовщик"
132,"Учитель, преподаватель, педагог"
134,"Финансовый аналитик, инвестиционный аналитик"
135,Финансовый директор (CFO)
