,id,name,url,professional_roles,salary_from,salary_to,currency,gross
0,113855364,Senior Project manager,https://api.hh.ru/vacancies/113855364?host=hh.ru,['Руководитель проектов'],,,,
1,114523129,BI-аналитик,https://api.hh.ru/vacancies/114523129?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
2,114042360,Junior BI-аналитик / маркетолог,https://api.hh.ru/vacancies/114042360?host=hh.ru,['Маркетолог-аналитик'],100000.0,120000.0,RUR,False
3,113015437,Аналитик-разработчик отчётности,https://api.hh.ru/vacancies/113015437?host=hh.ru,"['BI-аналитик, аналитик данных']",,380000.0,RUR,True
4,111218067,Аналитик данных (маркетинг),https://api.hh.ru/vacancies/111218067?host=hh.ru,['Маркетолог-аналитик'],,,,
5,112121705,Тестировщик,https://api.hh.ru/vacancies/112121705?host=hh.ru,['Тестировщик'],80000.0,,RUR,False
6,108787754,Аналитик данных (BI-Аналитик),https://api.hh.ru/vacancies/108787754?host=hh.ru,"['BI-аналитик, аналитик данных']",155000.0,160000.0,RUR,False
7,114308464,BI-Analyst (iGaming),https://api.hh.ru/vacancies/114308464?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
8,114252239,Разработчик Power BI,https://api.hh.ru/vacancies/114252239?host=hh.ru,"['BI-аналитик, аналитик данных']",,150000.0,RUR,False
9,114202773,Директор по складским операциям,https://api.hh.ru/vacancies/114202773?host=hh.ru,['Руководитель отдела логистики'],,,,
10,112744808,Аналитик-маркетолог,https://api.hh.ru/vacancies/112744808?host=hh.ru,['Маркетолог-аналитик'],60000.0,,RUR,True
11,112765103,Аналитик эффективности транзитных складов,https://api.hh.ru/vacancies/112765103?host=hh.ru,['Аналитик'],,,,
12,114020536,BI-аналитик,https://api.hh.ru/vacancies/114020536?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
13,114048890,"BI аналитик, FMCG",https://api.hh.ru/vacancies/114048890?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
14,113205596,Таргетолог,https://api.hh.ru/vacancies/113205596?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",,,,
15,112448661,Data Analyst,https://api.hh.ru/vacancies/112448661?host=hh.ru,['Продуктовый аналитик'],,,,
16,111241514,Data Analyst (BI analyst),https://api.hh.ru/vacancies/111241514?host=hh.ru,"['BI-аналитик, аналитик данных']",250000.0,300000.0,RUR,False
17,114188863,BI\Data Аналитик,https://api.hh.ru/vacancies/114188863?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
18,112598630,Куратор образовательных программ (студенческий support),https://api.hh.ru/vacancies/112598630?host=hh.ru,['Другое'],40000.0,50000.0,RUR,False
19,112607783,BI-аналитик (Gamedev),https://api.hh.ru/vacancies/112607783?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
20,114053331,BI-аналитик в Еду,https://api.hh.ru/vacancies/114053331?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
21,113737428,BI-аналитик,https://api.hh.ru/vacancies/113737428?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
22,112078324,Аналитик данных/BI-аналитик,https://api.hh.ru/vacancies/112078324?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
23,114076078,Senior BI-аналитик,https://api.hh.ru/vacancies/114076078?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
24,113154247,Финансовый аналитик / BI аналитик,https://api.hh.ru/vacancies/113154247?host=hh.ru,"['BI-аналитик, аналитик данных']",100000.0,140000.0,RUR,False
25,113117330,Junior Analyst,https://api.hh.ru/vacancies/113117330?host=hh.ru,['Аналитик'],,,,
26,113267353,BI-аналитик,https://api.hh.ru/vacancies/113267353?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
27,102277383,Аналитик,https://api.hh.ru/vacancies/102277383?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
28,111980536,BI-аналитик,https://api.hh.ru/vacancies/111980536?host=hh.ru,"['BI-аналитик, аналитик данных']",400000.0,,RUR,True
29,112426233,Intern BI-analyst / Стажер аналитик данных,https://api.hh.ru/vacancies/112426233?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
30,112753428,PHP developer,https://api.hh.ru/vacancies/112753428?host=hh.ru,"['Программист, разработчик']",,,,
31,112505609,Разработчик BI,https://api.hh.ru/vacancies/112505609?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
32,114074701,Ведущий BI-аналитик,https://api.hh.ru/vacancies/114074701?host=hh.ru,['Аналитик'],,,,
33,113278633,BI Аналитик (Управление финансовой портфельной аналитики),https://api.hh.ru/vacancies/113278633?host=hh.ru,"['BI-аналитик, аналитик данных']",,,,
